uis,text,favoriteCount,created,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted
2967,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:10,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",becky_spurr,559,TRUE,FALSE
2968,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:10,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",oiblair,559,TRUE,FALSE
2969,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:09,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",siegecrafter,559,TRUE,FALSE
2970,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:09,1.18739E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Dionasaur,559,TRUE,FALSE
2971,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:08,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SwegaliciousLel,559,TRUE,FALSE
2972,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:08,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",samu3lk,559,TRUE,FALSE
2973,"RT @Veronika_or: Omg
Polaroid shots taken on set of #TwinPeaks https://t.co/37i11xzQOG",0,24/10/2019 15:07,1.18739E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",pearlsnappea,41,TRUE,FALSE
2974,"Watching a video explaining Twin Peaks, it's over 4 hours long. Over halfway through now. It's really good.   #TwinPeaks",2,24/10/2019 15:07,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dani_queenb,0,FALSE,FALSE
2975,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:07,1.18739E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ama_ningyo,559,TRUE,FALSE
2976,RT @BritishBakeOff: It is happening again. #TwinPeaks #GBBO https://t.co/sK2OEqCyF7,0,24/10/2019 15:06,1.18738E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Jewhack,559,TRUE,FALSE
