"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1138","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:42:24,FALSE,NA,"1217472108370022401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lausadler",42,TRUE,FALSE,NA,NA
"1139","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:39:50,FALSE,NA,"1217471460010315776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gastronomiacine",42,TRUE,FALSE,NA,NA
"1140","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:39:20,FALSE,NA,"1217471335267545090",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","didibarney_7",42,TRUE,FALSE,NA,NA
"1141","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:39:13,FALSE,NA,"1217471305454366720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","micagroove",42,TRUE,FALSE,NA,NA
"1142","RT @MovistarCine: Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,0,NA,2020-01-15 15:39:05,FALSE,NA,"1217471274223579137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nombrealreves",42,TRUE,FALSE,NA,NA
"1143","Las #OscarNoms ya las predijeron los #Simpsons #Oscars2020 https://t.co/x1ASH0aP63",FALSE,113,NA,2020-01-15 15:38:10,FALSE,NA,"1217471039694917633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MovistarCine",42,FALSE,FALSE,NA,NA
"1144","Los Simpsons y los Oscars...

#simpsons #Oscars2020 https://t.co/zppfrNPM6p",FALSE,0,NA,2020-01-15 15:36:34,FALSE,NA,"1217470638711099392",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bandasonora2015",0,FALSE,FALSE,NA,NA
"1145","SIT DOWN, HONEY.

#Simpsons #mundanesimpsons #TheSimpsons https://t.co/rbM763kMcK",FALSE,3,NA,2020-01-15 15:29:14,FALSE,NA,"1217468793481580544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MundaneSimpsons",0,FALSE,FALSE,NA,NA
"1146","RT @reality_clash: Who understands this feeling? 

#meme #simpsons #cartoons #gaming #gamingmeme #funnymeme #updates #install #realityclash…",FALSE,0,NA,2020-01-15 15:26:16,FALSE,NA,"1217468045381308417",NA,"<a href=""https://strongholdhub.net"" rel=""nofollow"">Twitter Bot #1</a>","GamingRTweeters",3,TRUE,FALSE,NA,NA
"1147","Who understands this feeling? 

#meme #simpsons #cartoons #gaming #gamingmeme #funnymeme #updates #install… https://t.co/2D3YKIxfmQ",FALSE,4,NA,2020-01-15 15:25:08,TRUE,NA,"1217467763729620992",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","reality_clash",3,FALSE,FALSE,NA,NA
"1148","""You liked Rashomon."" - Sanders
""That's not how I remember it."" - Warren
#simpsons #DemDebates",FALSE,0,NA,2020-01-15 15:20:57,FALSE,NA,"1217466710422364161",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ianthetexan",0,FALSE,FALSE,NA,NA
"1149","Los #simpsons predijeron lo del #chancho de #FedericoAlvarezCastillo en Saint Nacho https://t.co/GMRY0uy5Tu",FALSE,3,NA,2020-01-15 15:19:59,FALSE,NA,"1217466466058100736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cardozopablo",0,FALSE,FALSE,NA,NA
"1150","""My parents won't let me use scissors."" --Ralph Wiggum I Love Lisa (Episode 9F13) #Simpsons",FALSE,0,NA,2020-01-15 15:00:02,FALSE,NA,"1217461446952542212",NA,"<a href=""http://www.floodgap.com/software/ttytter/"" rel=""nofollow"">TTYtter (simpsons_quote)</a>","simpsons_quote",0,FALSE,FALSE,NA,NA
"1151","Well this is absolutely perfect.

@TheAcademy 
@TheSimpsons 
#TheOscars
#TheSimpsons
#OscarNoms
#Oscars
#simpsons https://t.co/EsPfT1pGuW",FALSE,6,NA,2020-01-15 14:59:21,FALSE,NA,"1217461273576656897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshMattingly",0,FALSE,FALSE,NA,NA
"1152","RT @DogecoinMemes: #Dogecoin #memes #crypto #cryptocurrency #doge #tothemoon #wow  #moon #doitformoon #dogecar #doge4water #dogecoinball #b…",FALSE,0,NA,2020-01-15 14:36:32,FALSE,NA,"1217455531151044610",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JadeMerryJT86",14,TRUE,FALSE,NA,NA
"1153","Pienso que la gente seria mucho mejor persona si los #Simpsons volvieran a @antena3com 
En neox no molan lo mismo...
¿Que pensáis?",FALSE,2,NA,2020-01-15 14:06:09,FALSE,NA,"1217447886830678016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fpampano",0,FALSE,FALSE,NA,NA
"1154","Namaste everyone <U+0001F64F><U+270C><U+FE0F><U+0001F30D>
Sharing moments of life 
srima #yoga #adidas #simpsons #anytimefitness #food #foodie… https://t.co/w5WFgagViy",FALSE,1,NA,2020-01-15 14:01:34,TRUE,NA,"1217446731656450049",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Manpree03177645",0,FALSE,FALSE,NA,NA
"1155","Homer's Breakfast 
#simpsons #breakfast @ Somers, New York https://t.co/2LmQaeOq49",FALSE,0,NA,2020-01-15 13:26:52,FALSE,NA,"1217437999866109953",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Sebart666",0,FALSE,FALSE,"-73.6861","41.3281"
"1156","RT @Cambolc: Gabbo Is Coming (#Simpsons) sorry #MicrosoftEdge #Chromium is finally here, 15th January interested in seeing how it works on…",FALSE,0,NA,2020-01-15 13:23:56,FALSE,NA,"1217437262503387136",NA,"<a href=""https://puskartrital.com.np"" rel=""nofollow"">tritalpuskar</a>","tritalpuskar",5,TRUE,FALSE,NA,NA
"1157","RT @Cambolc: Gabbo Is Coming (#Simpsons) sorry #MicrosoftEdge #Chromium is finally here, 15th January interested in seeing how it works on…",FALSE,0,NA,2020-01-15 13:19:00,FALSE,NA,"1217436020121264128",NA,"<a href=""https://twitter.com/FreeBet13"" rel=""nofollow"">Retweetteuse</a>","4Tchat",5,TRUE,FALSE,NA,NA
"1158","RT @hmvGuildford: We've got lots of new #PopVinyl in stock now <U+0001F631> excited for the new #BirdsOfPrey movie? We've got new Pops in for it and s…",FALSE,0,NA,2020-01-15 13:07:36,FALSE,NA,"1217433148230946817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ExperienceGford",1,TRUE,FALSE,NA,NA
