"","Episode","word","sentiment"
"595","s1e8","waldo",NA
"596","s1e8","leo",NA
"597","s1e8","no",NA
"598","s1e8","leo",NA
"599","s1e8","no",NA
"600","s1e8","this",NA
"601","s1e8","was",NA
"602","s1e8","hidden",NA
"603","s1e8","in",NA
"604","s1e8","the",NA
"605","s1e8","desk",NA
"606","s1e8","then",NA
"607","s1e8","we",NA
"608","s1e8","can",NA
"609","s1e8","proceed",NA
"610","s1e8","is",NA
"611","s1e8","it",NA
"612","s1e8","set",NA
"613","s1e8","for",NA
"614","s1e8","tonight",NA
"615","s1e8","yes",NA
"616","s1e8","what",NA
"617","s1e8","policy",NA
"618","s1e8","is",NA
"619","s1e8","this",NA
"620","s1e8","your",NA
"621","s1e8","new",NA
"622","s1e8","life",NA
"623","s1e8","insurance",NA
"624","s1e8","are",NA
"625","s1e8","you",NA
"626","s1e8","suggesting",NA
"627","s1e8","that",NA
"628","s1e8","there's",NA
"629","s1e8","something",NA
"630","s1e8","irregular","negative"
"631","s1e8","at",NA
"632","s1e8","work","positive"
"633","s1e8","here",NA
"634","s1e8","rejected","negative"
"635","s1e8","that's",NA
"636","s1e8","what",NA
"637","s1e8","he",NA
"638","s1e8","said",NA
"639","s1e8","nadine",NA
"640","s1e8","don't",NA
"641","s1e8","you",NA
"642","s1e8","give",NA
"643","s1e8","up",NA
"644","s1e8","sign",NA
"645","s1e8","here",NA
"646","s1e8","welcome","positive"
"647","s1e8","to",NA
"648","s1e8","one",NA
"649","s1e8","eyed",NA
"650","s1e8","jacks",NA
"651","s1e8","hester",NA
"652",NA,"2-faces","negative"
"653",NA,"abnormal","negative"
"654",NA,"abolish","negative"
"655",NA,"abominable","negative"
"656",NA,"abominably","negative"
"657",NA,"abominate","negative"
"658",NA,"abomination","negative"
"659",NA,"abort","negative"
"660",NA,"aborted","negative"
"661",NA,"aborts","negative"
"662",NA,"abound","positive"
"663",NA,"abounds","positive"
"664",NA,"abrade","negative"
"665",NA,"abrasive","negative"
"666",NA,"abrupt","negative"
"667",NA,"abruptly","negative"
"668",NA,"abscond","negative"
"669",NA,"absence","negative"
"670",NA,"absent-minded","negative"
"671",NA,"absentee","negative"
"672",NA,"absurd","negative"
"673",NA,"absurdity","negative"
"674",NA,"absurdly","negative"
"675",NA,"absurdness","negative"
"676",NA,"abundance","positive"
"677",NA,"abundant","positive"
"678",NA,"abuse","negative"
"679",NA,"abused","negative"
"680",NA,"abuses","negative"
"681",NA,"abusive","negative"
"682",NA,"abysmal","negative"
"683",NA,"abysmally","negative"
"684",NA,"abyss","negative"
"685",NA,"accessable","positive"
"686",NA,"accessible","positive"
"687",NA,"accidental","negative"
"688",NA,"acclaim","positive"
"689",NA,"acclaimed","positive"
"690",NA,"acclamation","positive"
"691",NA,"accolade","positive"
"692",NA,"accolades","positive"
"693",NA,"accommodative","positive"
"694",NA,"accomodative","positive"
"695",NA,"accomplish","positive"
"696",NA,"accomplished","positive"
"697",NA,"accomplishment","positive"
"698",NA,"accomplishments","positive"
"699",NA,"accost","negative"
"700",NA,"accurate","positive"
"701",NA,"accurately","positive"
"702",NA,"accursed","negative"
"703",NA,"accusation","negative"
"704",NA,"accusations","negative"
"705",NA,"accuse","negative"
"706",NA,"accuses","negative"
"707",NA,"accusing","negative"
"708",NA,"accusingly","negative"
"709",NA,"acerbate","negative"
"710",NA,"acerbic","negative"
